Thắc mắc về học phíThắc mắc về tính học phần trong/ngoài chương trình,hung.tranle@hust.edu.vn
"Giới hạn tín chỉ đăng ký do mức cảnh báo, do ngoại ngữ",dat.nguyenquoc@hust.edu.vn
Thắc mắc về cập nhật điểm ngoại ngữ lên hệ thống(Dành cho SV có thắc mắc về việc chưa được cập nhật điểm ngoại ngữ lên hệ thống sau khi thi hoặc sau khi nộp hậu kiểm).,"dat.nguyenquoc@hust.edu.vnGhi chú:Điểm các đợt thi ngoại ngữ thi tại Trung tâm CLC sẽ được Trung tâm gửi Ban Đào tạo để cập nhật, do đó trước tiên cần liên hệ với Trung tâm CLC khi chưa thấy có điểm. Lưu ý: việc gửi dữ liệu từ Trung tâm CLC thực hiện theo đợt.SV có chứng chỉ ngoại ngữ quốc tế cần gửi quaTrung tâm CLCđể hậu kiểm chứng chỉ,KHÔNG nộp trực tiếpcho Ban Đào tạo vì Ban Đào tạo không có chức năng xác thực chứng chỉ."
Thắc mắc về thời khóa biểu,"thu.nguyenthiha@hust.edu.vnVới SV các chương trình đào tạo hợp tác quốc tế, liên hệ chuyên viên Giang Hương: huong.giang@hust.edu.vn"
Xác nhận thứ hạng sinh viên,"dat.nguyenquoc@hust.edu.vnChuyên viên Nguyễn Quốc Đạt (bàn 8, phòng 202A-C1)"
Xin thôi học và rút hồ sơ sinh viên,"hue.nguyenkim@hust.edu.vnChuyên viên tiếp nhận: Nguyễn Kim Huệ (bàn 6, phòng 202A-C1)"
Xin nghỉ học dài hạn (bảo lưu),"hue.nguyenkim@hust.edu.vnChuyên viên Nguyễn Kim Huệ (bàn 6, phòng 202A-C1)Nếu xin nghỉ dài hạn vì lý do sức khỏe:+ Trong đơn cần có xác nhận của Trung tâm Y tế Bách khoa (địa chỉ tại số 5 Tạ Quang Bửu) và chụp ảnh các giấy tờ minh chứng của cơ sở y tế nơi điều trị hoặc khám bệnh để gửi kèm đơn.+ Sinh viên cần mang bệnh án và các giấy tờ khám bệnh khi tới xin xác nhận tại Trung tâm Y tế BK+ Hoặc đến khám trực tiếp tại Trung tâm Y tế BK để có thể kết luận về tình hình sức khỏe."
Tiếp nhận trở lại học sau khi nghỉ dài hạn(Thời gian tiếp nhận đơn là trước 3-4 tuần so với thời điểm bắt đầu học kỳ),"hue.nguyenkim@hust.edu.vnSinh viên chụp ảnh đơn và gửi qua email để lưu thời điểm nộp đơn, không tiếp nhận trực tiếp."
Thủ tục chuyển trường trong nướcThủ tục chuyển trường từ nước ngoài về,"Giải đáp thắc mắc gửi qua email tới chuyên viên Nguyễn Kim Huệ:hue.nguyenkim@hust.edu.vnĐơn cần nộp trực tiếp tại bàn 6, phòng 202A-C1, chuyên viên tiếp nhận: Nguyễn Kim Huệ"
Chuyển ngành đào tạo/chương trình đào tạo,hue.nguyenkim@hust.edu.vnChuyên viên Nguyễn Kim Huệ (202A-C1)
Chuyển sang học tại Trung tâm Đào tạo liên tục,1) Tải mẫu đơn và điền đầy đủ thông tinTrường hợp có thắc mắc về thủ tục tại Ban Đào tạo sẽ liên hệ theo qua email: hue.nguyenkim@hust.edu.vn2) Nộp đơn tại Trung tâm Đào tạo liên tục (khu nhà TC) để được tư vấn và xếp lớp.Trường hợp cần tư vấn với Trung tâm Đào tạo liên tục sẽ liên hệ qua email: dtlt@hust.edu.vn
Trích sao bảng điểm (dành cho SV đang học).(Với người học đã tốt nghiệp xem tại dòng số 37 của bảng),hanh.tranthi@hust.edu.vnNhận tại bàn 4 phòng 202A-C1 (chuyên viên Trần Thị Hạnh).
Lịch thi học kỳ,1. Chuyên viên Trần Thị Hạnh: lịch thi cuối  kỳ. Email: hanh.tranthi@hust.edu.vn2. Chuyên viên Giang Hương: lịch thi Đợt A; kiểm tra giữa kỳ; thi kỳ hè. Email: huong.giang@hust.edu.vn
Hoãn thi cuối kỳ,"Nộp đơn kèm minh chứng tại Ban Đào tạo (bàn 4, phòng 202A-C1, gặp chuyên viên Trần Thị Hạnh)Nếu có thắc mắc có thể liên hệ chuyên viên Trần Thị Hạnh:hanh.tranthi@hust.edu.vnLƯU Ý:(1) Hoãn thi với các học phần GDTC:Liên hệ trực tiếp với thầy, cô giảng dạy học phần cần hoãn thi, cung cấp các minh chứng cần thiết để thầy, cô xem xét bố trí thi bù.Trong trường hợp cần hỗ trợ hoặc có thắc mắc thì các em liên hệ với thầy Lê Duy Long (Phó trưởng khoa GDTC): long.leduy@hust.edu.vn(2) Hoãn thi với các học phần GDQP-AN:Khoa GDQP-AN sẽ tiếp nhận đơn và xử lý hoãn thi và thi bù cho sinh viên. Nộp đơn hoãn thi tại khoa GDQP-AN, người tiếp nhận là cô Nguyễn Thị Hà Giang (email: giang.nguyenthiha@hust.edu.vn)."
Đăng ký thi bù do hoãn thi,Nếu có thắc mắc liên hệ chuyên viên Trần Thị Hạnh:hanh.tranthi@hust.edu.vn
Reset mật khẩu tài khoản ctt-sis.hust.edu.vn,hanh.tranthi@hust.edu.vnChuyên viên Trần Thị Hạnh (202A-C1)
"Thắc mắc về bằng cấp, chứng chỉ","thuyet.leminh@hust.edu.vnChuyên viên Lê Minh Thuyết (bàn số 7, phòng 202A-C1)"
Nhận bằng tốt nghiệp,"thu.nguyenthiha@hust.edu.vnChuyên viên Nguyễn Thị Hà Thu (bàn số 9, phòng 202A-C1).Trong trường hợp người khác nhận thay phải có giấy ủy quyền có xác nhận của phường/xã (mẫu giấy ủy quyền theo quy định của địa phương)."
Công tác lưu học sinh,"dat.nguyenquoc@hust.edu.vnChuyên viên Nguyễn Quốc Đạt (bàn 8, phòng 202A-C1)"
Xác minh văn bằng,"1. Với bằng đại học chính quy:Chuyên viên Nguyễn Kim Huệ (202A-C1, bàn số 6)Email:hue.nguyenkim@hust.edu.vn2. Với bằng cao đẳng:Chuyên viên Trần Thị Hạnh (202A-C1, bàn số 4)Email:hanh.tranthi@hust.edu.vn3. Với bằng Sau đại học:Chuyên viên Đinh Thị Quyên (315-C1, bàn số 8)Email:quyen.dinhthi@hust.edu.vn4. Với bằng đại học hệ vừa làm vừa học:Trung tâm Đào tạo liên tục (địa chỉ: 94 phố Lê Thanh Nghị, Bách Khoa, Hai Bà Trưng, Hà Nội).Email:dtlt@hust.edu.vn"
Cấp bản sao văn bằng (bằng tốt nghiệp/bảng điểm tốt nghiệp),"thu.nguyenthiha@hust.edu.vnNộp đơn trực tiếptại bàn số 9, phòng 202A-C1 (chuyên viên tiếp nhận: Nguyễn Thị Hà Thu).Với các văn bằng hệ vừa làm vừa học được cấp từ năm 2022 trở về trước: nộp đơn tại Trung tâm đào tạo liên tục (xem thông tintại đây)."
"Cấp Giấy chứng nhận tốt nghiệp tạm thờiGiấy chứng nhận tốt nghiệp tạm thời chỉ có thể cấp trong khi chờ cấp bằng, tức là chỉ có thể cấp từ khi Giám đốc ĐHBK HN ký Quyết định công nhận tốt nghiệp, chứ không phải cấp ngay sau khi có kết quả trên hệ thống (kết quả trên hệ thống mới chỉ là chạy phần mềm, chưa phải kết quả công nhận tốt nghiệp).Tham khảo quy định trên tại Thông tư số 21/2019/TT-BGDĐTtại đây.+ Thời gian chờ cấp bằng: xem Khoản 1 Điều 17 của Thông tư trên.+ Thời điểm có thể cấp Giấy chứng nhận tốt nghiệp tạm thời: xem Khoản 3 Điều 17 của Thông tư trên.CHÚ Ý:Hiện tạiĐÃ CÓQuyết định công nhận tốt nghiệp đối với đợt tốt nghiệp 2024.1BCách thực hiện:Sau khi Ban Đào tạo thông báo về việc đã có Quyết định công nhận tốt nghiệpthì sinh viên sẽ đăng ký cấp Giấy chứng nhận tốt nghiệp tạm thời từ hệ thống QLĐT và sẽ nhận Giấy chứng nhận này tại trường/khoa quản lý.Trong trường hợp cần thiết thì khicó kết quả xét tốt nghiệp trong tài khoản Cổng thông tinsinh viên có thể liên hệ Văn phòng trường/khoa để xinGiấy xác nhận hoàn thành chương trình đào tạo(đăng ký theo biểu mẫu trên QLĐT).","Cấp Giấy chứng nhận tốt nghiệp tạm thờiGiấy chứng nhận tốt nghiệp tạm thời chỉ có thể cấp trong khi chờ cấp bằng, tức là chỉ có thể cấp từ khi Giám đốc ĐHBK HN ký Quyết định công nhận tốt nghiệp, chứ không phải cấp ngay sau khi có kết quả trên hệ thống (kết quả trên hệ thống mới chỉ là chạy phần mềm, chưa phải kết quả công nhận tốt nghiệp).Tham khảo quy định trên tại Thông tư số 21/2019/TT-BGDĐTtại đây.+ Thời gian chờ cấp bằng: xem Khoản 1 Điều 17 của Thông tư trên.+ Thời điểm có thể cấp Giấy chứng nhận tốt nghiệp tạm thời: xem Khoản 3 Điều 17 của Thông tư trên.CHÚ Ý:Hiện tạiĐÃ CÓQuyết định công nhận tốt nghiệp đối với đợt tốt nghiệp 2024.1BCách thực hiện:Sau khi Ban Đào tạo thông báo về việc đã có Quyết định công nhận tốt nghiệpthì sinh viên sẽ đăng ký cấp Giấy chứng nhận tốt nghiệp tạm thời từ hệ thống QLĐT và sẽ nhận Giấy chứng nhận này tại trường/khoa quản lý.Trong trường hợp cần thiết thì khicó kết quả xét tốt nghiệp trong tài khoản Cổng thông tinsinh viên có thể liên hệ Văn phòng trường/khoa để xinGiấy xác nhận hoàn thành chương trình đào tạo(đăng ký theo biểu mẫu trên QLĐT)."
Mật khẩu email,39.
Hướng dẫn chuyển tiếp sinh,huong.giang@hust.edu.vnChuyên viên Giang Hương (316-C1)
(1) Thay đổi chương trình đào tạo KS chuyên sâu(2) Xin hủy đăng ký học chương trình đào tạo KS chuyên sâu,Học viên tải đơn --> điền đầy đủ thông tin --> xin xác nhận của Trường/Khoa quản ngành --> chụp và gửi đơn qua email:hung.nguyenhuy@hust.edu.vn(chuyên viên tiếp nhận: Nguyễn Huy Hùng)
